trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-72.36498338828761,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.998}",20,0,-159.03815917565112,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-160.88472405255519,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.996}",25,0,-67.54430569098824,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.995}",20,0,-140.0723484981166,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.994}",20,0,-125.68642636490928,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-121.12578374286917,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992}",30,0,-113.00020355104398,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-144.71599905941235,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.99}",25,0,-68.89792959806745,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.989}",25,0,-162.02563666246152,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.988}",20,0,-125.85709921835566,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.987}",25,0,-202.37862094503868,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.986}",25,0,-199.55850276447737,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.985}",25,0,-94.85328992854743,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.984}",20,3,-103.05451358078867,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.983}",20,0,-25.18775004537345,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.982}",20,0,-59.4658753039703,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.981}",25,0,-155.55729875916435,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.98}",30,0,-58.6708534466269,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.979}",25,0,-70.4144215631236,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.978}",20,0,-95.99400241606774,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.977}",20,0,-51.579135916396595,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.976}",25,0,-83.71760840714418,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.975}",20,0,-116.224677406108,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.974}",35,0,-227.02174038230024,"{0: 20, 1: 5, 2: 5, 3: 1, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.973}",35,0,-245.36612198145357,"{0: 21, 1: 2, 2: 6, 3: 2, 4: 4}",0
28,False,"{'a': 0.5, 'e': 0.972}",30,0,-60.9423474340266,"{0: 19, 1: 7, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.971}",30,0,-245.29913319141423,"{0: 17, 1: 1, 2: 6, 3: 2, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.97}",30,13,-54.26682806931412,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.969}",25,0,-190.54955656390817,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.968}",20,0,-137.82596356096445,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.967}",20,0,-140.62320747619628,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.966}",20,13,-17.048335348207523,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
